,index,value
0,Homepage,843
1,Checkout,821
2,Log in,756
3,Sign up,738
4,Other,623
5,Coupon,606
6,Pricing,476
7,Courses,453
8,Career tracks,380
9,Career track certificate,228
10,Resources center,184
11,Course certificate,151
12,Upcoming courses,83
13,Success stories,38
14,Instructors,25
15,About us,17
16,Blog,13
