,page,values
0,"('Checkout', 'Checkout', 'Checkout')",149
1,"('Homepage', 'Sign up', 'Homepage')",129
2,"('Sign up', 'Checkout', 'Checkout')",128
3,"('Homepage', 'Sign up', 'Checkout')",112
4,"('Homepage', 'Checkout', 'Checkout')",106
5,"('Homepage', 'Pricing', 'Checkout')",104
6,"('Homepage', 'Homepage', 'Homepage')",91
